Date,TimeIn,GateIn,PCIn,ContactNo,NRIC,TimeOut,GateOut,PCOut,Stay
2020-08-01,10:00,C,6,83741284,T5117282X,13:17,F,9,197
2020-08-01,10:01,C,2,87369314,S0629040X,12:52,D,12,171
2020-08-01,10:05,A,5,82924318,T0844574X,13:03,G,8,178
2020-08-01,10:06,B,2,81144058,F8370679X,11:22,D,9,76
2020-08-01,10:06,A,6,93141981,G4270423X,12:35,D,8,149
2020-08-01,10:11,C,5,88058234,T7445345X,13:18,G,11,187
2020-08-01,10:15,A,1,86994009,S5262645X,13:00,F,7,165
2020-08-01,10:17,C,1,97375573,T7369618X,10:28,G,11,11
2020-08-01,10:18,C,3,87445911,S8405073X,13:42,D,10,204
2020-08-01,10:18,A,3,97017177,G2248910X,14:13,G,11,235
2020-08-01,10:19,C,5,93996322,T6334164X,12:39,D,11,140
2020-08-01,10:20,A,4,89519871,T3162318X,14:20,F,10,240
2020-08-01,10:23,A,2,98433062,T8273792X,10:59,D,10,36
2020-08-01,10:28,C,5,87907277,T3801201X,13:32,F,12,184
2020-08-01,10:29,B,1,94120268,T9869417X,13:52,D,10,203
2020-08-01,10:32,B,4,94829144,T2508524X,11:58,E,7,86
2020-08-01,10:36,B,6,83336853,S4175552X,11:23,D,8,47
2020-08-01,10:38,A,1,93906106,S6117452X,12:33,G,8,115
2020-08-01,10:40,C,5,82616652,S6080231X,13:51,E,10,191
2020-08-01,10:43,C,4,95470615,G3960744X,11:31,G,10,48
2020-08-01,10:48,C,1,96199730,F8201434X,13:59,G,11,191
2020-08-01,10:50,B,2,87478714,T9392721X,13:46,F,10,176
2020-08-01,10:50,A,2,99064117,T9617924X,12:53,G,7,123
2020-08-01,10:54,A,6,91353501,T3508471X,14:51,F,10,237
2020-08-01,10:58,A,4,83944936,T7102337X,13:52,E,9,174
2020-08-01,11:01,A,5,91484725,F6181335X,14:50,E,8,229
2020-08-01,11:05,A,4,92239087,G6670188X,13:41,D,7,156
2020-08-01,11:07,A,4,98497684,F3583850X,12:32,E,9,85
2020-08-01,11:12,B,5,97016799,T1505738X,11:15,F,10,3
2020-08-01,11:13,B,4,89735381,F4332080X,12:28,F,9,75
2020-08-01,11:15,C,5,97265613,F6632880X,12:52,E,8,97
2020-08-01,11:20,C,3,98144808,F0922437X,11:26,E,9,6
2020-08-01,11:21,A,3,91541671,G9257986X,15:16,D,10,235
2020-08-01,11:21,A,5,85144810,S5308763X,12:57,G,10,96
2020-08-01,11:26,C,5,98045168,S3208890X,14:18,G,9,172
2020-08-01,11:28,A,4,85539737,F4358622X,14:24,D,11,176
2020-08-01,11:29,C,6,99863709,G3255672X,13:30,D,7,121
2020-08-01,11:32,B,5,94631745,F1863343X,12:53,F,11,81
2020-08-01,11:32,A,3,94634484,S9193079X,13:03,E,8,91
2020-08-01,11:32,B,6,92336815,S5182808X,14:38,D,8,186
2020-08-01,11:32,A,1,96672080,F7176430X,12:10,F,9,38
2020-08-01,11:37,C,6,95118915,G1614113X,14:12,D,10,155
2020-08-01,11:38,C,5,94667241,F7208894X,12:40,E,9,62
2020-08-01,11:43,B,1,87360827,F2111304X,12:35,E,11,52
2020-08-01,11:45,A,6,81626480,F8133681X,14:25,E,8,160
2020-08-01,11:46,A,5,97220667,T6384801X,13:43,D,11,117
2020-08-01,11:48,A,4,93644958,T9172880X,11:52,D,7,4
2020-08-01,11:50,C,3,93314584,S0910322X,13:09,F,11,79
2020-08-01,11:51,A,4,94367518,G7552168X,13:06,D,9,75
2020-08-01,11:56,B,2,94589386,G0423094X,12:33,G,9,37
2020-08-01,11:57,C,6,94640476,S3360978X,13:08,F,7,71
2020-08-01,12:01,C,1,83631091,F4104206X,12:43,D,8,42
2020-08-01,12:01,C,6,89314063,S8015496X,13:03,G,8,62
2020-08-01,12:06,C,2,93679684,S2635305X,16:02,F,7,236
2020-08-01,12:10,A,1,86342604,F7672317X,16:06,F,10,236
2020-08-01,12:10,A,4,86657544,T5495351X,13:26,D,9,76
2020-08-01,12:15,C,6,99624936,G6725425X,12:54,F,7,39
2020-08-01,12:20,B,6,94583112,G8220925X,14:39,D,7,139
2020-08-01,12:22,C,1,85304356,T0772377X,15:17,F,12,175
2020-08-01,12:22,A,3,87871184,G7381424X,13:19,G,8,57
2020-08-01,12:26,B,4,95012627,G1927438X,14:16,E,11,110
2020-08-01,12:26,A,3,97484323,F1270623X,14:11,D,8,105
2020-08-01,12:26,C,4,81676278,G9481216X,14:00,G,10,94
2020-08-01,12:30,A,3,86331644,F9804633X,15:07,E,8,157
2020-08-01,12:31,B,3,91412364,F4659830X,14:48,G,8,137
2020-08-01,12:35,C,6,91460957,S4150633X,15:09,D,8,154
2020-08-01,12:39,A,1,84408686,G9477807X,13:33,E,12,54
2020-08-01,12:42,A,2,96650806,T9097082X,16:07,F,11,205
2020-08-01,12:47,C,4,92468809,F0582977X,15:30,D,11,163
2020-08-01,12:51,C,2,96724546,G7219491X,14:16,D,12,85
2020-08-01,12:56,B,3,84220988,T4685106X,13:03,G,11,7
2020-08-01,12:58,B,1,94694842,T1146455X,14:16,F,12,78
2020-08-01,13:01,C,2,98541327,F1843511X,14:30,F,7,89
2020-08-01,13:06,C,6,84170583,T2310268X,14:05,E,11,59
2020-08-01,13:09,C,5,97858691,G3895232X,14:33,G,8,84
2020-08-01,13:13,A,2,99289135,T2946102X,14:04,E,11,51
2020-08-01,13:18,C,2,91212158,G5559933X,13:24,D,12,6
2020-08-01,13:20,A,6,81574861,S7474689X,14:34,D,8,74
2020-08-01,13:24,C,1,87552174,G3449118X,17:03,D,8,219
2020-08-01,13:27,C,2,95753894,G4961647X,16:47,E,8,200
2020-08-01,13:30,A,5,92357461,G3758238X,15:02,D,9,92
2020-08-01,13:34,A,6,81444414,G9461376X,16:30,E,12,176
2020-08-01,13:34,B,1,89868090,T4010267X,16:46,F,9,192
2020-08-01,13:38,C,3,81979781,F3868413X,14:00,G,8,22
2020-08-01,13:40,C,4,86576087,S7095702X,15:38,D,7,118
2020-08-01,13:43,A,6,92555751,S6838831X,14:55,D,11,72
2020-08-01,13:45,A,1,83272345,T6322631X,16:57,F,9,192
2020-08-01,13:50,B,1,89963153,G5956965X,14:16,D,7,26
2020-08-01,13:55,C,4,99874883,G3816613X,17:11,G,7,196
2020-08-01,13:55,C,2,99061177,F8331813X,16:43,D,11,168
2020-08-01,13:59,C,2,88047474,F4957397X,17:55,G,9,236
2020-08-01,14:02,C,1,88143332,F8701750X,14:51,D,11,49
2020-08-01,14:06,C,3,87428596,T9320303X,17:08,G,9,182
2020-08-01,14:06,A,6,98518131,G4545431X,18:02,E,11,236
2020-08-01,14:09,C,6,98625518,S0696754X,17:08,D,11,179
2020-08-01,14:14,A,6,92872601,S1987933X,17:54,G,12,220
2020-08-01,14:14,A,6,89286773,S0315147X,18:11,F,11,237
2020-08-01,14:19,A,4,98413680,G1868922X,14:33,G,9,14
2020-08-01,14:19,A,3,99003610,G9017895X,15:52,E,9,93
2020-08-01,14:21,B,4,99889916,G3765783X,17:58,D,11,217
2020-08-01,14:23,A,2,94736415,G9084911X,15:01,G,7,38
2020-08-01,14:23,B,1,85307717,S6636180X,15:10,G,9,47
2020-08-01,14:24,A,3,99856482,S0664114X,15:28,G,12,64
2020-08-01,14:26,A,3,87401012,S7074281X,15:20,E,9,54
2020-08-01,14:30,A,4,98774805,F4884117X,16:37,D,9,127
2020-08-01,14:33,B,3,89035446,T3224820X,15:40,F,7,67
2020-08-01,14:36,C,4,91974135,G4320052X,16:20,F,10,104
2020-08-01,14:37,C,6,97237000,F5452639X,15:11,F,9,34
2020-08-01,14:40,A,2,84414882,F8172762X,17:55,F,12,195
2020-08-01,14:44,B,1,89904974,T2273097X,18:30,E,10,226
2020-08-01,14:44,B,6,89597891,G3181958X,17:53,F,12,189
2020-08-01,14:46,A,2,82664277,S8488052X,17:05,F,7,139
2020-08-01,14:47,C,6,92266318,S4819319X,15:38,F,11,51
2020-08-01,14:47,C,6,97176696,F2992164X,17:01,E,8,134
2020-08-01,14:48,C,6,87689472,S8000913X,18:30,D,9,222
2020-08-01,14:48,B,1,88015159,T0796389X,16:21,E,11,93
2020-08-01,14:52,C,4,81270070,G0828633X,17:37,F,7,165
2020-08-01,14:53,A,5,84547304,F3411477X,16:05,E,12,72
2020-08-01,14:56,C,1,98723084,S6393105X,15:20,D,9,24
2020-08-01,14:58,B,6,96404379,G1716817X,16:14,E,9,76
2020-08-01,14:59,C,5,82990369,G9911783X,15:48,E,9,49
2020-08-01,15:03,A,6,99037317,G9099119X,18:44,F,7,221
2020-08-01,15:05,B,2,93519020,T1246228X,17:51,F,8,166
2020-08-01,15:10,C,1,87728360,T6594868X,16:04,D,9,54
2020-08-01,15:12,B,6,86364840,T0050123X,18:40,D,10,208
2020-08-01,15:16,B,1,85706339,T1892676X,17:02,D,10,106
2020-08-01,15:16,B,4,83012799,F8898315X,16:36,E,8,80
2020-08-01,15:20,B,3,94526984,T5536225X,16:10,F,7,50
2020-08-01,15:20,C,5,95417980,S3117281X,17:05,E,9,105
2020-08-01,15:20,A,2,87459939,G9547651X,17:48,D,12,148
2020-08-01,15:23,C,5,94566230,G4422972X,19:05,F,10,222
2020-08-01,15:24,B,5,94751275,T9385551X,17:34,G,10,130
2020-08-01,15:27,A,1,87155470,G9924612X,19:22,F,9,235
2020-08-01,15:28,A,5,91730710,G7552890X,15:44,D,7,16
2020-08-01,15:31,B,4,98686580,G0098905X,18:01,F,11,150
2020-08-01,15:31,C,5,93915537,T3640288X,17:21,D,7,110
2020-08-01,15:34,A,1,84580547,S3707337X,19:03,E,7,209
2020-08-01,15:34,A,2,84037082,F3549275X,16:21,D,12,47
2020-08-01,15:38,B,6,84526578,F7620080X,18:59,F,12,201
2020-08-01,15:42,C,6,85821984,T5276313X,19:18,D,10,216
2020-08-01,15:46,B,6,88500488,T5909785X,16:50,D,7,64
2020-08-01,15:51,C,5,92952440,F3221750X,16:27,E,11,36
2020-08-01,15:56,A,4,93326896,G1890930X,17:22,E,10,86
2020-08-01,15:57,C,3,89357046,S1651757X,17:57,E,12,120
2020-08-01,16:02,C,6,98281497,G6667573X,18:09,E,8,127
2020-08-01,16:04,B,1,97312244,S7650479X,18:24,D,12,140
